County,Population,Index Count,Index Rate,Violent Count,Violent Rate,Property Count,Property Rate,Cluster,Violent %,Property %
Dixie County,10336.8,343.73333333333335,23.41710477056563,52.266666666666666,141.21407781365903,291.46666666666664,29.64235425179741,0,15.2055857253685,84.79441427463149
Dorchester County,32480.066666666666,1310.8666666666666,25.991233983171764,193.03333333333333,179.74520008486132,1117.8333333333333,30.567610205986465,0,14.725626811778469,85.27437318822153
Dutchess,292079.3333333333,6367.2,2282.8066666666664,780.9666666666667,279.05333333333334,5586.233333333334,2003.7533333333333,2,12.265464673116389,87.73453532688362
Duval County,858677.6,54304.13333333333,17.41284735599764,5562.8,172.44137287714545,48741.333333333336,19.443172557077183,3,10.24378745878153,89.75621254121849
Erie,969984.7666666667,37191.3,3940.6066666666666,5290.533333333334,560.52,31900.766666666666,3380.086666666667,2,14.225190658388746,85.77480934161125
Escambia County,309662.0,15711.6,21.133808642355575,1925.7333333333333,175.5542692599929,13785.866666666667,24.086532445826506,0,12.25676145862505,87.74323854137495
Essex,38723.166666666664,602.5666666666667,1601.9166666666667,68.3,181.86333333333332,534.2666666666667,1420.0566666666666,2,11.334845383636665,88.66515461636332
Flagler County,54051.933333333334,1356.1333333333334,31.2982418258916,140.83333333333334,298.6173631363365,1215.3,35.12281139000621,0,10.384917903844263,89.61508209615573
Franklin,51628.933333333334,985.5,1978.3766666666668,143.33333333333334,289.0066666666667,842.1666666666666,1689.3633333333335,2,14.544224589886692,85.4557754101133
Franklin County,4086.0333333333333,124.7,13.273987691590033,16.633333333333333,135.57277184434193,108.06666666666666,15.875112664644695,0,13.338679497460571,86.66132050253943
Frederick County,217466.56666666668,4751.133333333333,49.34137852056241,764.3666666666667,310.74592454966034,3986.766666666667,58.80385843637555,0,16.08809126243563,83.91190873756437
Fulton,56220.86666666667,1652.4666666666667,3034.18,117.93333333333334,217.33333333333334,1534.5333333333333,2816.8566666666666,2,7.136805583572034,92.86319441642796
Gadsden County,47224.933333333334,1630.5333333333333,33.78926441396019,295.6666666666667,191.22014028247574,1334.8666666666666,41.60767132618252,0,18.133126175484506,81.8668738245155
Garrett County,30603.866666666665,580.4,55.70665275994863,64.06666666666666,553.2310184593318,516.3333333333334,63.007991638715126,0,11.03836434642775,88.96163565357226
