County-Year,Population,Index Count,Index Rate,Violent Count,Violent Rate,Property Count,Property Rate,State,Cluster,Violent %,Property %
Cayuga-1997.0,82961.0,2137.0,2575.9,168.0,202.5,1969.0,2373.4,NY,1,7.861488067384183,92.13851193261581
Cayuga-1998.0,82487.0,2032.0,2463.4,178.0,215.8,1854.0,2247.6,NY,1,8.759842519685039,91.24015748031496
Cayuga-1999.0,81359.0,1996.0,2453.3,179.0,220.0,1817.0,2233.3,NY,1,8.967935871743487,91.03206412825652
Cayuga-2000.0,85205.0,1899.0,2228.7,175.0,205.4,1724.0,2023.4,NY,1,9.215376513954714,90.78462348604529
Cayuga-2001.0,82114.0,1906.0,2321.2,177.0,215.6,1729.0,2105.6,NY,1,9.286463798530955,90.71353620146905
Cayuga-2002.0,82745.0,1844.0,2228.5,165.0,199.4,1679.0,2029.1,NY,1,8.947939262472886,91.05206073752711
Cayuga-2003.0,81701.0,1813.0,2219.1,186.0,227.7,1627.0,1991.4,NY,1,10.259238830667403,89.7407611693326
Cayuga-2004.0,81883.0,1770.0,2161.6,131.0,160.0,1639.0,2001.6,NY,1,7.401129943502825,92.59887005649718
Cayuga-2005.0,82033.0,1848.0,2252.8,138.0,168.2,1710.0,2084.5,NY,1,7.467532467532467,92.53246753246754
Cayuga-2006.0,81672.0,1960.0,2399.8,176.0,215.5,1784.0,2184.3,NY,1,8.979591836734693,91.02040816326532
Cayuga-2007.0,80918.0,1847.0,2282.6,172.0,212.6,1675.0,2070.0,NY,1,9.312398484028153,90.68760151597185
Cayuga-2008.0,79812.0,1853.0,2321.7,147.0,184.2,1706.0,2137.5,NY,1,7.933081489476525,92.06691851052348
Cayuga-2009.0,79569.0,1660.0,2086.2,186.0,233.8,1474.0,1852.5,NY,1,11.204819277108435,88.79518072289156
Cayuga-2010.0,78400.0,1765.0,2251.3,158.0,201.5,1607.0,2049.7,NY,1,8.951841359773372,91.04815864022663
Cayuga-2011.0,80386.0,1717.0,2135.9,182.0,226.4,1535.0,1909.5,NY,1,10.59988351776354,89.40011648223646
Cayuga-2012.0,80168.0,1808.0,2255.3,141.0,175.9,1667.0,2079.4,NY,1,7.798672566371681,92.20132743362832
Cayuga-2013.0,79520.0,1517.0,1907.7,128.0,161.0,1389.0,1746.7,NY,1,8.437705998681608,91.56229400131839
Cayuga-2014.0,79512.0,1556.0,1956.9,138.0,173.6,1418.0,1783.4,NY,1,8.868894601542417,91.13110539845758
Cayuga-2015.0,78420.0,1553.0,1980.4,196.0,249.9,1357.0,1730.4,NY,1,12.62073406310367,87.37926593689633
Cayuga-2016.0,77462.0,1428.0,1843.5,184.0,237.5,1244.0,1605.9,NY,1,12.885154061624648,87.11484593837535
Cayuga-2017.0,77712.0,1371.0,1764.2,248.0,319.1,1123.0,1445.1,NY,1,18.088986141502552,81.91101385849745
Cayuga-2018.0,75834.0,1238.0,1632.5,197.0,259.8,1041.0,1372.7,NY,1,15.91276252019386,84.08723747980615
Cayuga-2019.0,76385.0,1216.0,1591.9,154.0,201.6,1062.0,1390.3,NY,1,12.664473684210526,87.33552631578947
Cayuga-2020.0,75732.0,1295.0,1710.0,213.0,281.3,1082.0,1428.7,NY,1,16.447876447876446,83.55212355212355
Chautauqua-1990.0,141895.0,5713.0,4026.2,229.0,161.4,5484.0,3864.8,NY,1,4.008401890425346,95.99159810957465
Chautauqua-1991.0,142423.0,5472.0,3842.1,227.0,159.4,5245.0,3682.7,NY,1,4.148391812865497,95.8516081871345
Chautauqua-1992.0,142900.0,5317.0,3720.8,296.0,207.1,5021.0,3513.6,NY,1,5.567049087831484,94.43295091216851
Chautauqua-1993.0,142339.0,4970.0,3491.7,395.0,277.5,4575.0,3214.2,NY,1,7.947686116700201,92.0523138832998
Chautauqua-1994.0,142115.0,5251.0,3694.9,450.0,316.6,4801.0,3378.3,NY,1,8.569796229289658,91.43020377071034
Chautauqua-1995.0,141908.0,5425.0,3822.9,399.0,281.2,5026.0,3541.7,NY,1,7.354838709677419,92.64516129032258
Chautauqua-1996.0,142287.0,5151.0,3620.1,341.0,239.7,4810.0,3380.5,NY,1,6.6200737720830904,93.37992622791691
Chautauqua-1997.0,141908.0,4669.0,3290.2,398.0,280.5,4271.0,3009.7,NY,1,8.524309273934461,91.47569072606554
Chautauqua-1998.0,140309.0,4428.0,3155.9,390.0,278.0,4038.0,2877.9,NY,1,8.807588075880759,91.19241192411924
Chautauqua-1999.0,138265.0,3797.0,2746.2,311.0,224.9,3486.0,2521.2,NY,1,8.19067685014485,91.80932314985515
Chautauqua-2000.0,143321.0,3946.0,2753.3,287.0,200.2,3659.0,2553.0,NY,1,7.27318803852002,92.72681196147998
Chautauqua-2001.0,140007.0,3631.0,2593.4,350.0,250.0,3281.0,2343.5,NY,1,9.639217846323326,90.36078215367668
Chautauqua-2002.0,141084.0,3575.0,2534.0,339.0,240.3,3236.0,2293.7,NY,1,9.482517482517483,90.51748251748252
Chautauqua-2003.0,138567.0,3966.0,2862.2,347.0,250.4,3619.0,2611.7,NY,1,8.749369641956632,91.25063035804337
Chautauqua-2004.0,137910.0,3804.0,2758.3,347.0,251.6,3457.0,2506.7,NY,1,9.121976866456363,90.87802313354364
Chautauqua-2005.0,137464.0,4003.0,2912.0,390.0,283.7,3613.0,2628.3,NY,1,9.7426929802648,90.2573070197352
Chautauqua-2006.0,136774.0,3652.0,2670.1,330.0,241.3,3322.0,2428.8,NY,1,9.036144578313253,90.96385542168674
Chautauqua-2007.0,134387.0,3805.0,2831.4,341.0,253.7,3464.0,2577.6,NY,1,8.961892247043364,91.03810775295663
Chautauqua-2008.0,133217.0,3734.0,2802.9,320.0,240.2,3414.0,2562.7,NY,1,8.56989823245849,91.4301017675415
Chautauqua-2009.0,133112.0,3597.0,2702.2,256.0,192.3,3341.0,2509.9,NY,1,7.1170419794273005,92.8829580205727
