,County,Year,Population,Index Count,Index Rate,Violent Count,Violent Rate,Property Count,Property Rate
231,Cecil County,2004,93573.0,3388.0,27.618949232585596,431.0,217.10672853828305,2957.0,31.64457220155563
232,Cecil County,2005,96254.0,3408.0,28.243544600938968,474.0,203.06751054852322,2934.0,32.80640763462849
233,Cecil County,2006,98064.0,3532.0,27.76443941109853,490.0,200.13061224489795,3042.0,32.23668639053255
234,Cecil County,2007,100680.0,3966.0,25.385779122541603,568.0,177.25352112676057,3398.0,29.6291936433196
235,Cecil County,2008,100763.0,4351.0,23.158584233509536,540.0,186.59814814814814,3811.0,26.440041983731305
236,Cecil County,2009,102047.0,4410.0,23.139909297052153,746.0,136.7922252010724,3664.0,27.851255458515283
237,Cecil County,2010,102940.0,4098.0,25.119570522205954,673.0,152.95690936106985,3425.0,30.055474452554744
238,Cecil County,2011,102067.0,4020.0,25.389800995024874,579.0,176.28151986183073,3441.0,29.66201685556524
239,Cecil County,2012,102676.0,3922.0,26.179500254971952,549.0,187.02367941712205,3373.0,30.440557367328786
240,Cecil County,2013,102068.0,3311.0,30.826940501359108,436.0,234.10091743119267,2875.0,35.50191304347826
241,Cecil County,2014,102296.0,3388.0,30.19362455726092,496.0,206.24193548387098,2892.0,35.37206085753804
242,Cecil County,2015,102376.0,3027.0,33.82094482986455,366.0,279.7158469945355,2661.0,38.47275460353251
243,Cecil County,2016,102033.0,2979.0,34.25075528700906,373.0,273.5469168900804,2606.0,39.15310821181888
244,Cecil County,2017,102783.0,2493.0,41.22864019253911,322.0,319.20186335403724,2171.0,47.34362045140488
245,Cecil County,2018,102148.0,2520.0,40.53492063492064,356.0,286.9325842696629,2164.0,47.20332717190388
246,Cecil County,2019,102522.0,2390.0,42.89623430962343,306.0,335.03921568627453,2084.0,49.19481765834933
247,Cecil County,2020,102707.0,2027.0,50.6694622594968,272.0,377.5992647058824,1755.0,58.52250712250712
248,Charles County,1990,101154.0,4641.0,21.79573367808662,634.0,159.54889589905363,4007.0,25.24432243573746
249,Charles County,1991,102814.0,5279.0,19.476037128243984,719.0,142.99582753824757,4560.0,22.546929824561403
250,Charles County,1992,103829.0,5076.0,20.45488573680063,640.0,162.2328125,4436.0,23.405996393146978
251,Charles County,1993,107103.0,4680.0,22.88525641025641,563.0,190.23623445825933,4117.0,26.01481661403935
252,Charles County,1994,107983.0,4877.0,22.141275374205453,605.0,178.48429752066116,4272.0,25.27691947565543
253,Charles County,1995,110079.0,5400.0,20.385,720.0,152.8875,4680.0,23.521153846153847
254,Charles County,1996,110733.0,5044.0,21.953409992069787,646.0,171.41331269349845,4398.0,25.178035470668487
255,Charles County,1997,111212.0,4955.0,22.444399596367305,717.0,155.10739191073918,4238.0,26.24162340726758
256,Charles County,1998,116001.0,5253.0,22.08280982295831,629.0,184.4213036565978,4624.0,25.086721453287197
257,Charles County,1999,118809.0,4395.0,27.032764505119452,700.0,169.72714285714287,3695.0,32.15399188092016
258,Charles County,2000,120546.0,4494.0,26.823765020026702,693.0,173.94805194805195,3801.0,31.714285714285715
259,Charles County,2001,122336.0,4685.0,26.112273212379936,775.0,157.85290322580644,3910.0,31.287979539641945
260,Charles County,2002,124225.0,4943.0,25.131499089621688,875.0,141.97142857142856,4068.0,30.537118977384463
261,Charles County,2003,130240.0,5103.0,25.522241818538117,773.0,168.48641655886158,4330.0,30.07852193995381
262,Charles County,2004,134236.0,4941.0,27.167779801659584,736.0,182.3858695652174,4205.0,31.92294887039239
263,Charles County,2005,136841.0,5029.0,27.210379797176376,759.0,180.2911725955204,4270.0,32.04707259953162
264,Charles County,2006,139202.0,4995.0,27.868268268268267,729.0,190.94924554183814,4266.0,32.630567276136894
265,Charles County,2007,142320.0,5089.0,27.96620161131853,846.0,168.22695035460993,4243.0,33.54230497289654
266,Charles County,2008,142039.0,5105.0,27.82350636630754,794.0,178.8904282115869,4311.0,32.948039897935516
267,Charles County,2009,143833.0,4433.0,32.44597338145725,701.0,205.18259629101283,3732.0,38.54046087888532
268,Charles County,2010,145349.0,4425.0,32.84723163841808,713.0,203.8555399719495,3712.0,39.15651939655172
269,Charles County,2011,147940.0,4366.0,33.884562528630326,588.0,251.59863945578232,3778.0,39.158284806776074
270,Charles County,2012,150570.0,3918.0,38.430321592649314,575.0,261.8608695652174,3343.0,45.040382889620105
271,Charles County,2013,152067.0,4115.0,36.9543134872418,588.0,258.6173469387755,3527.0,43.11511199319535
272,Charles County,2014,154633.0,3597.0,42.989435640811784,546.0,283.2106227106227,3051.0,50.682726974762375
273,Charles County,2015,156234.0,3527.0,44.29656932237029,581.0,268.9053356282272,2946.0,53.032586558044805
274,Charles County,2016,157065.0,3145.0,49.94117647058823,564.0,278.4840425531915,2581.0,60.85432003099574
275,Charles County,2017,159441.0,3220.0,49.51583850931677,540.0,295.2611111111111,2680.0,59.4929104477612
276,Charles County,2018,160284.0,3158.0,50.75490816972768,651.0,246.21198156682027,2507.0,63.93458316713203
277,Charles County,2019,162578.0,3122.0,52.07495195387572,589.0,276.0237691001698,2533.0,64.18397157520727
278,Charles County,2020,164609.0,2669.0,61.67440989134507,540.0,304.8314814814815,2129.0,77.31751996242367
279,Dorchester County,1990,30236.0,1232.0,24.542207792207794,241.0,125.46058091286307,991.0,30.510595358224016
280,Dorchester County,1991,30732.0,1320.0,23.28181818181818,224.0,137.19642857142858,1096.0,28.04014598540146
281,Dorchester County,1992,31034.0,1419.0,21.870331219168428,217.0,143.01382488479263,1202.0,25.81863560732113
282,Dorchester County,1993,30487.0,1550.0,19.669032258064515,259.0,117.7104247104247,1291.0,23.615027110766846
283,Dorchester County,1994,30737.0,1408.0,21.830255681818183,198.0,155.23737373737373,1210.0,25.402479338842976
284,Dorchester County,1995,30640.0,1326.0,23.10708898944193,260.0,117.84615384615384,1066.0,28.74296435272045
285,Dorchester County,1996,30820.0,1453.0,21.211286992429457,201.0,153.33333333333334,1252.0,24.616613418530353
286,Dorchester County,1997,30952.0,1460.0,21.2,217.0,142.63594470046084,1243.0,24.90104585679807
287,Dorchester County,1998,30134.0,1041.0,28.94716618635927,189.0,159.43915343915344,852.0,35.36854460093897
288,Dorchester County,1999,29715.0,1168.0,25.440924657534246,199.0,149.321608040201,969.0,30.6656346749226
289,Dorchester County,2000,30674.0,1205.0,25.455601659751036,182.0,168.53846153846155,1023.0,29.98435972629521
290,Dorchester County,2001,31130.0,1223.0,25.453802125919868,205.0,151.85365853658536,1018.0,30.57956777996071
291,Dorchester County,2002,31610.0,1321.0,23.92884178652536,212.0,149.10377358490567,1109.0,28.503155996393147
292,Dorchester County,2003,30734.0,1179.0,26.067854113655642,150.0,204.89333333333335,1029.0,29.867832847424683
293,Dorchester County,2004,30885.0,1289.0,23.96043444530644,137.0,225.43795620437956,1152.0,26.809895833333332
294,Dorchester County,2005,31147.0,1320.0,23.596212121212123,174.0,179.00574712643677,1146.0,27.17888307155323
295,Dorchester County,2006,31487.0,1509.0,20.866136514247845,181.0,173.96132596685084,1328.0,23.710090361445783
296,Dorchester County,2007,31500.0,1352.0,23.298816568047336,160.0,196.875,1192.0,26.426174496644297
297,Dorchester County,2008,31780.0,1410.0,22.53900709219858,187.0,169.94652406417111,1223.0,25.98528209321341
298,Dorchester County,2009,32317.0,1143.0,28.273840769903764,183.0,176.59562841530055,960.0,33.66354166666667
299,Dorchester County,2010,32376.0,1188.0,27.252525252525253,188.0,172.2127659574468,1000.0,32.376
300,Dorchester County,2011,32927.0,1286.0,25.604199066874028,142.0,231.88028169014083,1144.0,28.782342657342657
301,Dorchester County,2012,32955.0,1309.0,25.17570664629488,165.0,199.72727272727272,1144.0,28.806818181818183
302,Dorchester County,2013,32578.0,1120.0,29.0875,150.0,217.18666666666667,970.0,33.585567010309276
303,Dorchester County,2014,32717.0,1231.0,26.57757920389927,142.0,230.40140845070422,1089.0,30.04315886134068
304,Dorchester County,2015,32453.0,1366.0,23.757686676427525,187.0,173.54545454545453,1179.0,27.525869380831214
305,Dorchester County,2016,32143.0,1104.0,29.11503623188406,154.0,208.7207792207792,950.0,33.834736842105265
306,Dorchester County,2017,32174.0,1407.0,22.867093105899077,186.0,172.9784946236559,1221.0,26.35053235053235
307,Dorchester County,2018,31832.0,992.0,32.08870967741935,158.0,201.46835443037975,834.0,38.16786570743405
308,Dorchester County,2019,31754.0,1013.0,31.34649555774926,136.0,233.48529411764707,877.0,36.20752565564424
309,Dorchester County,2020,31742.0,982.0,32.323828920570264,207.0,153.34299516908212,775.0,40.95741935483871
310,Frederick County,1990,150208.0,5198.0,28.897268180069258,896.0,167.64285714285714,4302.0,34.91585309158531
311,Frederick County,1991,152673.0,4939.0,30.911723020854424,794.0,192.28337531486147,4145.0,36.83305186972256
312,Frederick County,1992,154180.0,5233.0,29.46302312249188,846.0,182.24586288416074,4387.0,35.144745839981766
313,Frederick County,1993,161295.0,4992.0,32.31069711538461,913.0,176.66484118291348,4079.0,39.54278009316009
314,Frederick County,1994,162261.0,4918.0,32.99328995526637,717.0,226.30543933054392,4201.0,38.6243751487741
